what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres.ui",1288654799511
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.routineeditor.ui",1288654799512
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook",1288654799513
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1288654799520
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1288654799521
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.v201001200600,"org.eclipse.datatools.sqltools.sqlbuilder",1288654799522
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1288654799523
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111150,"org.eclipse.datatools.enablement.sybase.asa.ui",1288654799523
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.ddlgen.ui",1288654799523
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.debugger.core",1288654799524
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1288654799524
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1288654799525
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.1.v200912241345,"org.eclipse.datatools.sqltools.sqleditor",1288654799526
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1288654799527
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.plan",1288654799527
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.1.2.v200912080845,"org.eclipse.datatools.sqltools.data.ui",1288654799528
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.tabledataeditor",1288654799528
stopped,bundle,org.eclipse.datatools.sqltools.result.ui,1.0.2.v201002011830,"org.eclipse.datatools.sqltools.result.ui",1288654799529
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.common.ui",1288654799529
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1288654799530
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1288654799530
stopped,bundle,org.eclipse.dltk.console.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.console.ui",1288654799531
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.200.v20090113,"org.eclipse.wst.server.http.ui",1288654799531
stopped,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1288654799531
stopped,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1288654799531
stopped,bundle,org.eclipse.rse.subsystems.files.ftp,2.1.100.v200905272300,"org.eclipse.rse.subsystems.files.ftp",1288654799532
stopped,bundle,org.eclipse.ecf.presence.collab.ui,1.3.0.v20090616-0832,"org.eclipse.ecf.presence.collab.ui",1288654799532
stopped,bundle,org.eclipse.emf.validation.ui.ide,1.3.0.v200901271722,"org.eclipse.emf.validation.ui.ide",1288654799533
stopped,bundle,org.eclipse.emf.validation.ui,1.3.0.v200901271722,"org.eclipse.emf.validation.ui",1288654799533
stopped,bundle,org.eclipse.gmf.runtime.common.ui.action.ide,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.common.ui.action.ide",1288654799534
stopped,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1288654799535
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers.ide,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.diagram.ui.providers.ide",1288654799536
stopped,bundle,org.eclipse.gmf.runtime.common.ui.action.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.action.ide",1288654799536
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.diagram.ui.actions",1288654799537
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.diagram.ui.printing.render",1288654799537
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing,1.2.0.v20090526-1925,"org.eclipse.gmf.runtime.diagram.ui.printing",1288654799538
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.geoshapes,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.diagram.ui.geoshapes",1288654799538
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.diagram.ui.render",1288654799539
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers,1.2.0.v20090526-1925,"org.eclipse.gmf.runtime.diagram.ui.providers",1288654799554
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.actions",1288654799569
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.dnd,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.diagram.ui.dnd",1288654799570
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide,1.0.0.v20060627-1200,"org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide",1288654799570
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.2.0.v20090526-1925,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1288654799571
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.properties",1288654799572
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.dnd,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.dnd",1288654799572
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui,1.2.0.v20090526-1925,"org.eclipse.gmf.runtime.diagram.ui",1288654799573
stopped,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.2.0.v20090501-1750,"org.eclipse.gmf.runtime.emf.ui.properties",1288654799574
stopped,bundle,org.eclipse.gmf.runtime.emf.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.ui",1288654799574
stopped,bundle,org.eclipse.gmf.runtime.common.ui.action,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.action",1288654799575
